REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1968-06,9.12236255296051,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1968.5,,,,,,1,,,8.83780561764907,9.42388322725021,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1969-06,8.78156153292087,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1969.5,,,,,,1,,,8.49845715645495,9.08040459938418,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1970-06,8.33898197647975,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1970.5,,,,,,1,,,8.07388791604054,8.620467567858,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1971-06,8.0380679444898,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1971.5,,,,,,1,,,7.77911058271487,8.30220327108166,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1972-06,7.93361369282164,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1972.5,,,,,,1,,,7.68050367701566,8.19378363543531,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1973-06,7.85088749742957,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1973.5,,,,,,1,,,7.60235724710199,8.10924000642283,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1974-06,7.6299656742328,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1974.5,,,,,,1,,,7.39026141108785,7.87734919545173,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1975-06,7.33076227630614,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1975.5,,,,,,1,,,7.10147344617733,7.56838008701317,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1976-06,7.1165875854593,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1976.5,,,,,,1,,,6.8946017819182,7.34453118411156,,,,
USA,United States of America,MRM1T59,Mortality rate 1-59 months,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1977-06,7.03491105954968,,,,,A,Normal value,D_PER_1000_1M,"Deaths per 1,000 children aged 1 month",,,,,,1977.5,,,,,,1,,,6.82306967383832,7.25969297053962,,,,
